Ref,Val,Package,PosX,PosY,Rot,Side
"C3","0.1uF","C_0805_HandSoldering",128.000000,-140.500000,270.000000,bottom
"C4","0.1uF","C_0805_HandSoldering",76.500000,-126.750000,90.000000,bottom
"C5","0.1uF","C_0805_HandSoldering",62.250000,-89.500000,180.000000,bottom
"C6","0.1uF","C_0805_HandSoldering",128.500000,-67.000000,90.000000,bottom
"C7","0.1uF","C_0805_HandSoldering",62.750000,-105.500000,-0.000000,bottom
"D1","LED","LED_0805",72.000000,-85.750000,-0.000000,bottom
"D2","LED","LED_0805",116.500000,-85.750000,-0.000000,bottom
"D3","LED","LED_0805",93.250000,-85.750000,-0.000000,bottom
"MCU1","ATtiny85-20SU","ATtiny85_SMD",62.750000,-111.250000,180.000000,bottom
"R1","10k","R_0603",69.750000,-109.000000,180.000000,bottom
"R2","10k","R_0603",55.250000,-113.000000,-0.000000,bottom
"R3","10k","R_0603",55.250000,-110.500000,-0.000000,bottom
"R4","10k","R_0603",74.000000,-135.250000,270.000000,bottom
"R5","10k","R_0603",72.000000,-135.250000,270.000000,bottom
"R6","10k","R_0603",70.000000,-135.250000,270.000000,bottom
"R7","10k","R_0603",68.000000,-135.250000,270.000000,bottom
"R8","1k","R_0603",56.000000,-119.000000,270.000000,bottom
"R9","1k","R_0603",58.000000,-119.000000,270.000000,bottom
"R10","1k","R_0603",60.000000,-119.000000,270.000000,bottom
"SW0","SW_Push","SW_SPST_B3S-1000",72.000000,-80.750000,-0.000000,bottom
"SW1","SW_Push","SW_SPST_B3S-1000",116.500000,-80.750000,-0.000000,bottom
"SW2","SW_Push","SW_SPST_B3S-1000",93.250000,-80.750000,-0.000000,bottom
"SW3","SW_Push","SW_SPST_B3S-1000",87.250000,-100.500000,-0.000000,bottom
"SW4","SW_Push","SW_SPST_B3S-1000",116.500000,-100.500000,-0.000000,bottom
"SW5","SW_Push","SW_SPST_B3S-1000",116.500000,-119.500000,-0.000000,bottom
"U25","DS3231M","SOIC-16W_7.5x10.3mm_Pitch1.27mm",79.500000,-114.000000,180.000000,bottom
"U90","AZ1117-5.0","SOT-223-3_TabPin2",139.600000,-125.000000,-0.000000,bottom
"U1","WS2812B","WS2812B_Ver2_INV",53.250000,-129.750000,0.000000,top
"U2","WS2812B","WS2812B_Ver2_INV",53.250000,-120.250000,0.000000,top
"U3","WS2812B","WS2812B_Ver2_INV",53.250000,-110.750000,0.000000,top
"U4","WS2812B","WS2812B_Ver2_INV",53.250000,-96.750000,0.000000,top
"U5","WS2812B","WS2812B_Ver2_INV",53.250000,-87.250000,0.000000,top
"U6","WS2812B","WS2812B_Ver2_INV",53.250000,-77.750000,0.000000,top
"U7","WS2812B","WS2812B_Ver2_INV",60.250000,-70.750000,0.000000,top
"U8","WS2812B","WS2812B_Ver2_INV",69.750000,-70.750000,0.000000,top
"U9","WS2812B","WS2812B_Ver2_INV",79.250000,-70.750000,0.000000,top
"U10","WS2812B","WS2812B_Ver2_INV",86.250000,-77.750000,0.000000,top
"U11","WS2812B","WS2812B_Ver2_INV",86.250000,-87.250000,0.000000,top
"U12","WS2812B","WS2812B_Ver2_INV",86.250000,-96.750000,0.000000,top
"U13","WS2812B","WS2812B_Ver2_INV",86.250000,-110.750000,0.000000,top
"U14","WS2812B","WS2812B_Ver2_INV",86.250000,-120.250000,0.000000,top
"U15","WS2812B","WS2812B_Ver2_INV",86.250000,-129.750000,0.000000,top
"U16","WS2812B","WS2812B_Ver2_INV",79.250000,-136.750000,0.000000,top
"U17","WS2812B","WS2812B_Ver2_INV",69.750000,-136.750000,0.000000,top
"U18","WS2812B","WS2812B_Ver2_INV",60.250000,-136.750000,0.000000,top
"U19","WS2812B","WS2812B_Ver2_INV",60.250000,-103.750000,0.000000,top
"U20","WS2812B","WS2812B_Ver2_INV",69.750000,-103.750000,0.000000,top
"U21","WS2812B","WS2812B_Ver2_INV",79.250000,-103.750000,0.000000,top
"U22","WS2812B","WS2812B_Ver2_INV",97.500000,-129.750000,0.000000,top
"U23","WS2812B","WS2812B_Ver2_INV",97.500000,-120.250000,0.000000,top
"U27","WS2812B","WS2812B_Ver2_INV",97.500000,-110.750000,0.000000,top
"U28","WS2812B","WS2812B_Ver2_INV",97.500000,-96.750000,0.000000,top
"U29","WS2812B","WS2812B_Ver2_INV",97.500000,-87.250000,0.000000,top
"U30","WS2812B","WS2812B_Ver2_INV",97.500000,-77.750000,0.000000,top
"U31","WS2812B","WS2812B_Ver2_INV",104.500000,-70.750000,0.000000,top
